Key,ko,en
player2-10,플레이어: 뭐...! 그게 무슨! 안돼 잠깐..!,"Player: What...! What is that! No, wait...!"
player3-1,"플레이어: 아 안돼... 내 몸이 작아졌어,,,",Player: Oh no... My body has shrunk...
player3-2,플레이어: 그 파란 머리 내 몸을 이렇게 만들다니...,Player: That blue hair made my body like this...
player3-3,플레이어: 그래도 꿈에서 처럼 분명 해결 방법이 있을거야,"Player: But, just like in a dream, there must be a solution."
player3-4,플레이어: 여기 주변에 도움이 될 만한게 있는지 찾아봐야겠어,Player: I'll have to look around here to see if there's anything that might be helpful.
player3-5,플레이어: 일단 길을 따라 가보자,Player: Let's just follow the path.
player4-1,플레이어: 여기에 마을이 있네?,Player: Is there a village here?
player4-2,플레이어: 저.. 저게 뭐야!,Player: What... is that!
player4-3,플레이어: 익숙한 파란머리... 날 작아지게 만든 파란머리의 동료인가...,Player: Familiar blue hair... Is that the blue-haired companion who made me shrink?
player4-4,플레이어: 그럼 이 마을에 무언가 있기 때문에 여기 있는거겠지?,Player: So you're here because there's something in this town?
player4-5,플레이어: 안 들키게 조심히 둘러보자..!,Player: Let's look around carefully so we don't get caught..!
player5-1,플레이어: 이 종이는 뭐지?,Player: What is this paper?
player5-2,플레이어: 빨간 머리..? 빨간 머리를 4개 모아서..?,Player: Red hair..? Collect four red hairs..?
player5-3,플레이어: 이거 혹시 파란 머리를 봉인 시킬수 있는 방법인가?,Player: Is this a way to seal blue hair?
player5-4,플레이어: 이 종이가 여기에 있다면 재료도 근처에 있을거야,"Player: If this paper is here, the materials should be nearby too."
player5-5,플레이어: 어서 둘러봐야겠어,Player: I guess I'll have to take a look around.
player6-1,플레이어: 아니 저 작은파란머리,"Player: No, that little blue hair"
player6-2,플레이어: 내 소세지를 훔쳐가더니 이 조각도 훔쳐가다니,"Player: You stole my sausage, and now you're stealing this piece too!"
player6-3,플레이어: 거기 딱 기다려 내가 간다,"Player: Just wait there, I'll come."
player7-1,플레이어: 이제 이 길을 따라가면 되겠지?,"Player: Now, should we follow this path?"
player7-2,플레이어: 파란 머리들이 쫓아오기 전에 도망가자!,Player: Let's run away before the blue-haired ones chase after us!
player8-1,파란 머리들: 안돼 거기 서!!!!!,"Blue Haired: No, stand there!!!!!"
system1-1,시스템: 빨간 머리의 조각을 획득했다!,System: You have acquired a piece of red hair!
system1-2,시스템: 빨간 머리의 조각을 획득했다!,System: You have acquired a piece of red hair!
system1-3,시스템: 빨간 머리의 조각을 획득했다!,System: You have acquired a piece of red hair!
system1-4,시스템: 빨간 머리의 조각을 획득했다!,System: You have acquired a piece of red hair!
system2,플레이어: 아직은 마을에 들어갈 수 없어,Player: You can't enter the village yet.
system1-5,시스템: 빨간 머리의 링을 획득했다!,System: You have acquired the red-haired ring!
sausage,소세지,sausage
eat,먹기,eating
turn,뒤집기,Flip
cheez_hamberger,치즈햄버거,Cheeseburger
berger,버거,Burger
discarded_paper,버려진 종이,discarded paper
get,줍기,Pick up
redhead1,빨간머리1,Redhead1
redhead2,빨간머리2,Redhead 2
redhead3,빨간머리3,Redhead 3
redhead4,빨간머리4,Redhead 4
door,문,door
doorOpen,열기,opening
doorClose,닫기,close
redheadring,링,ring
on,올리기,Upload
quest1,"소세지, 패티 굽기",Grilling sausages and patties
quest2,정체를 알 수 없는 동물 따라가기,Follow an unidentified animal
quest3,길을 따라 걸어가기,Walk along the road
quest4,마을 수색하기,Search the village
quest5,재료 아이템 찾기,Find material items
quest6,마을 나가기,Leave town
quest7,길을따라 가서 봉인시키기,Follow the path and seal it
quest8,파란머리들 피해 도망가서 봉인시키기!!!!,Run away from the blue hairs and seal them!!!!
